dataset,model,accuracy,precision,recall,f1_score,roc_auc
HELOC,Logistic Regression,0.7189292543021033,0.7176165803108808,0.760989010989011,0.7386666666666667,0.7900641025641024
HELOC,Random Forest,0.7222753346080306,0.7159763313609467,0.7756410256410257,0.7446153846153846,0.791445054945055
BANK,Logistic Regression,0.9166059723233795,0.7117750439367311,0.4364224137931034,0.5410821643286573,0.9424372906740885
BANK,Random Forest,0.9196406894877397,0.7138263665594855,0.47844827586206895,0.5729032258064516,0.9475761680975519
